"s","1","2","3","4","5","q1","q2","q3","q4","q5"
"0","0","0","0","0","0","0/12 (0,00)","0/12 (0,00)","0/12 (0,00)","0/12 (0,00)","0/12 (0,00)"
"1","0","0","0","0","1","2/12 (0,17)","4/12 (0,33)","7/12 (0,58)","4/12 (0,33)","12/12 (1,00)"
"2","0","0","0","1","0","4/12 (0,33)","2/12 (0,17)","7/12 (0,58)","12/12 (1,00)","4/12 (0,33)"
"3","0","0","0","1","1","5/12 (0,42)","5/12 (0,42)","10/12 (0,83)","12/12 (1,00)","12/12 (1,00)"
"4","0","0","1","0","0","7/12 (0,58)","7/12 (0,58)","12/12 (1,00)","7/12 (0,58)","7/12 (0,58)"
"5","0","0","1","0","1","7/12 (0,58)","7/12 (0,58)","12/12 (1,00)","7/12 (0,58)","12/12 (1,00)"
"6","0","0","1","1","0","7/12 (0,58)","7/12 (0,58)","12/12 (1,00)","12/12 (1,00)","7/12 (0,58)"
"7","0","0","1","1","1","7/12 (0,58)","7/12 (0,58)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)"
"8","0","1","0","0","0","4/12 (0,33)","12/12 (1,00)","7/12 (0,58)","2/12 (0,17)","4/12 (0,33)"
"9","0","1","0","0","1","5/12 (0,42)","12/12 (1,00)","10/12 (0,83)","5/12 (0,42)","12/12 (1,00)"
"10","0","1","0","1","0","7/12 (0,58)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","7/12 (0,58)"
"11","0","1","0","1","1","7/12 (0,58)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)"
"12","0","1","1","0","0","7/12 (0,58)","12/12 (1,00)","12/12 (1,00)","7/12 (0,58)","7/12 (0,58)"
"13","0","1","1","0","1","7/12 (0,58)","12/12 (1,00)","12/12 (1,00)","7/12 (0,58)","12/12 (1,00)"
"14","0","1","1","1","0","7/12 (0,58)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","7/12 (0,58)"
"15","0","1","1","1","1","7/12 (0,58)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)"
"16","1","0","0","0","0","12/12 (1,00)","4/12 (0,33)","7/12 (0,58)","4/12 (0,33)","2/12 (0,17)"
"17","1","0","0","0","1","12/12 (1,00)","7/12 (0,58)","12/12 (1,00)","7/12 (0,58)","12/12 (1,00)"
"18","1","0","0","1","0","12/12 (1,00)","5/12 (0,42)","10/12 (0,83)","12/12 (1,00)","5/12 (0,42)"
"19","1","0","0","1","1","12/12 (1,00)","7/12 (0,58)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)"
"20","1","0","1","0","0","12/12 (1,00)","7/12 (0,58)","12/12 (1,00)","7/12 (0,58)","7/12 (0,58)"
"21","1","0","1","0","1","12/12 (1,00)","7/12 (0,58)","12/12 (1,00)","7/12 (0,58)","12/12 (1,00)"
"22","1","0","1","1","0","12/12 (1,00)","7/12 (0,58)","12/12 (1,00)","12/12 (1,00)","7/12 (0,58)"
"23","1","0","1","1","1","12/12 (1,00)","7/12 (0,58)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)"
"24","1","1","0","0","0","12/12 (1,00)","12/12 (1,00)","10/12 (0,83)","5/12 (0,42)","5/12 (0,42)"
"25","1","1","0","0","1","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","7/12 (0,58)","12/12 (1,00)"
"26","1","1","0","1","0","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","7/12 (0,58)"
"27","1","1","0","1","1","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)"
"28","1","1","1","0","0","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","7/12 (0,58)","7/12 (0,58)"
"29","1","1","1","0","1","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","7/12 (0,58)","12/12 (1,00)"
"30","1","1","1","1","0","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","7/12 (0,58)"
"31","1","1","1","1","1","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)","12/12 (1,00)"
