##Experiment settings 
#Number of sensors 5 
#Battery usage in 1 moment of time 1.0 
#Battery cappacity 10 
#Sensor range 35 
#Q 0.80 
#C 0.5 
#Con 1.0 
#Coff+ 1.0 
#C1 0.5 
#C2 4.0 
#C3 0.5 
#C4 0.8 
#delta2 0.2 
#seed 1 
#Multirun 3 
#Sensor placement r 
#Poi placement 36 
#Max_num_of_iter 20 
#Max_num_of_runs 100 
#U 2 
#all-c 0.20 
#all-d 0.20 
#K-c 0.20 
#K-d 0.20 
#K-dc 0.20 
#max k 3 
#p_init_ON 0.5 
#H 4 
#epsylon 0.3 
#strategy change type adopt to the Best 
#strategy change range RTS+ strategy 
#Ready to share income False 
#Ready to share init 0.4 
#iter q_curr av_rev %m %strategy av_k %ALLC %KC %KDC %KD %ALLD s_10 
0 0.44 0.40 0.20 0.00 0.40 0.40 0.20 0.00 0.40 0.00 12 
1 0.50 0.39 0.20 0.60 0.40 0.20 0.40 0.20 0.20 0.00 14 
2 0.67 0.57 0.60 0.00 1.20 0.00 0.60 0.00 0.40 0.00 31 
3 0.67 0.57 0.60 0.40 1.20 0.60 0.40 0.00 0.00 0.00 31 
4 0.67 0.57 0.60 0.00 1.20 0.40 0.60 0.00 0.00 0.00 31 
5 0.67 0.57 0.60 0.40 1.00 0.20 0.40 0.00 0.40 0.00 31 
6 0.67 0.57 0.60 0.00 1.20 1.00 0.00 0.00 0.00 0.00 31 
7 0.67 0.57 0.60 0.40 1.20 0.80 0.00 0.00 0.20 0.00 31 
8 0.67 0.57 0.60 0.00 1.20 0.40 0.60 0.00 0.00 0.00 31 
9 0.67 0.57 0.60 0.40 1.40 0.60 0.20 0.00 0.20 0.00 31 
10 0.67 0.57 0.60 0.00 1.20 1.00 0.00 0.00 0.00 0.00 31 
11 0.61 0.58 0.60 0.40 1.40 0.40 0.20 0.00 0.40 0.00 29 
12 0.67 0.57 0.60 0.00 1.60 0.60 0.00 0.00 0.40 0.00 31 
13 0.61 0.61 0.60 0.60 1.60 0.60 0.00 0.20 0.20 0.00 27 
14 0.31 0.26 0.60 0.00 1.60 0.00 0.00 0.60 0.40 0.00 10 
15 0.67 0.57 0.60 0.40 1.40 0.40 0.00 0.20 0.40 0.00 31 
16 0.31 0.35 0.60 0.00 1.40 0.40 0.00 0.20 0.00 0.40 17 
17 0.61 0.61 0.60 0.60 1.40 0.40 0.00 0.20 0.40 0.00 27 
18 0.67 0.57 0.60 0.00 1.00 0.60 0.00 0.00 0.40 0.00 31 
19 0.50 0.39 0.60 0.60 1.20 0.20 0.00 0.40 0.40 0.00 11 
